Name,Account,App Name,City,State,Country,Region,Subdomain,DB,Version,Group,Feeder,Created,Status,Category,Primary Clusters
kipu-11807,Opal Clinic for Eating Disorders,11807,Seattle,WA,US,us-east-1,oed11807,kipuaws-rds-kipu-11807,10.2.3.6.aws,SMB,0000s,8/27/21,Active,Healthmatters,healthmatterscluster14-105
kipu-11806,Beloved Treatment Center,11806,Apple Valley,CA,US,us-east-1,btc11806,kipuaws-rds-kipu-11806,10.2.3.6.aws,SMB,0000s,8/27/21,Active,Healthmatters,healthmatterscluster14-105
kipu-11805,Good Landing Recovery,11805,Dacula,GA,US,us-east-1,glr11805,kipuaws-rds-kipu-11805,10.2.3.6.aws,SMB,0000s,8/27/21,Active,Healthmatters,healthmatterscluster14-105
kipu-11803,Chapters Recovery Center,11803,Danvers,MA,US,us-east-1,crc11803,kipuaws-rds-kipu-11803,10.2.3.6.aws,SMB,0000s,8/26/21,Active,Healthmatters,healthmatterscluster14-105
kipu-11804,Connected Recovery,11804,Van Nuys,CA,US,us-east-1,cnr11804,kipuaws-rds-kipu-11804,10.2.3.6.aws,SMB,0000s,8/26/21,Active,Healthmatters,healthmatterscluster14-105
kipu-11800,Alina Lodge,11800,Hardwick Township,NJ,US,us-east-1,all11800,kipuaws-rds-kipu-11800,10.2.3.6.aws,SMB,0000s,8/25/21,Active,Healthmatters,healthmatterscluster14-105
kipu-11798,Eternal Purpose Recovery,11798,Tarzana,CA,US,us-east-1,epr11798,kipuaws-rds-kipu-11798,10.2.3.6.aws,SMB,0000s,8/23/21,Active,Healthmatters,healthmatterscluster14-105
kipu-11799,Cypress Wellness Retreat,11799,West Palm Beach,FL,US,us-east-1,cwr11799,kipuaws-rds-kipu-11799,10.2.3.6.aws,SMB,0000s,8/23/21,Active,Healthmatters,healthmatterscluster14-105
kipu-11797,Empowered Recovery Center,11797,Marietta,GA,US,us-east-1,erc11797,kipuaws-rds-kipu-11797,10.2.3.6.aws,SMB,0000s,8/20/21,Active,Healthmatters,healthmatterscluster14-105
kipu-11713,Gods Plan and Wellness Home,11713,North Hollywood,CA,US,us-east-1,gpwh11713,kipuaws-rds-kipu-11713,10.2.3.6.aws,SMB,0000s,4/20/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11695,Integrated Care Partners,11695,Weymouth,MA,US,us-east-1,icp11695,kipuaws-rds-kipu-11695,10.2.3.6.aws,SMB,0000s,3/16/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11693,Natural State Recovery Center,11693,North Little Rock,AR,US,us-east-1,nsrc11693,kipuaws-rds-kipu-11693,10.2.3.6.aws,SMB,0000s,3/15/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11692,Intensive Specialty Hospital,11692,,LA,US,us-east-1,ish11692,kipuaws-rds-kipu-11692,10.2.3.6.aws,SMB,0000s,3/12/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11691,ARI Recovery,11691,Huntington Beach,CA,US,us-east-1,ar11691,kipuaws-rds-kipu-11691,10.2.3.6.aws,SMB,0000s,3/11/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11686,Spring Board Recovery,11686,Scottsdale,AZ,US,us-east-1,springboardrecovery,kipuaws-rds-kipu-11686,10.2.3.6.aws,SMB,0000s,3/5/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11682,Behavioral Homes 365,11682,Mesa,AZ,US,us-east-1,bh11682,kipuaws-rds-kipu-11682,10.2.3.6.aws,SMB,0000s,3/2/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11681,New England Medical Group,11681,Hingham,MA,US,us-east-1,nemg11681,kipuaws-rds-kipu-11681,10.2.3.6.aws,SMB,0000s,3/1/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11678,Bella Monte Recovery,11678,Desert Hot Springs,CA,US,us-east-1,bmr11678,kipuaws-rds-kipu-11678,10.2.3.6.aws,SMB,0000s,2/23/21,Active,Healthmatters,healthmatterscluster14-103
kipu-11679,Golden Gate Recovery Center,11679,Novato,CA,US,us-east-1,grc11679,kipuaws-rds-kipu-11679,10.2.3.6.aws,SMB,0000s,2/23/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11677,The Summit Wellness Group,11677,Roswell,GA,US,us-east-1,swg11677,kipuaws-rds-kipu-11677,10.2.3.6.aws,SMB,0000s,2/22/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11676,Tarzana Recovery Center,11676,Tarzana,CA,US,us-east-1,trc11676,kipuaws-rds-kipu-11676,10.2.3.6.aws,SMB,0000s,2/19/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11675,ClearVision Health and Wellness,11675,Hazelton,PA,US,us-east-1,chw11675,kipuaws-rds-kipu-11675,10.2.3.6.aws,SMB,0000s,2/19/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11672,Licasa Treatment Center,11672,,CA,US,us-east-1,ltc11672,kipuaws-rds-kipu-11672,10.2.3.6.aws,SMB,0000s,2/14/21,Active,Healthmatters,healthmatterscluster14-107
